session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
469044209792352265.fit,2025-05-15,26.132,120.58333333333333,143.8917910447761,156.0,12.999600000000001,78.68722283813747,4.615526631588664,2025-05
469070864896262154.fit,2025-05-16,13.046,60.18333333333333,159.78543743078626,168.0,12.999600000000001,80.70094496942745,4.615526631588664,2025-05
469092908545376260.fit,2025-05-17,7.177,55.95,115.01178960096735,133.0,7.862188875453446,78.8707627118644,7.63146255457257,2025-05
469093765661884421.fit,2025-05-17,4.479,17.883333333333333,153.1731843575419,163.0,15.001199999999999,81.27669902912622,3.9996800255979523,2025-05
469160317788651551.fit,2025-05-20,11.729,46.88333333333333,171.29921819474058,188.0,15.001199999999999,80.15200286123033,3.9996800255979523,2025-05
469162763504091137.fit,2025-05-20,7.435,34.28333333333333,178.3148688046647,188.0,12.999600000000001,80.0435847208619,4.615526631588664,2025-05
469209282563309574.fit,2025-05-22,20.079,120.45,130.65260099612618,144.0,10.0008,79.62721729490022,5.999520038396929,2025-05
469297188197924872.fit,2025-05-26,12.004,44.983333333333334,162.08481481481482,170.0,15.9984,81.1515601783061,3.7503750375037503,2025-05
469369187955933197.fit,2025-05-29,3.057,10.283333333333333,175.73300970873785,199.0,17.658576699029126,85.8961038961039,3.397782336743981,2025-05
469387111659765768.fit,2025-05-30,10.857,40.68333333333333,157.3968058968059,168.0,15.9984,81.47787979966611,3.7503750375037503,2025-05
469432428394479621.fit,2025-06-01,11.302,44.55,174.58624577226607,185.0,15.389354678692222,83.43695897628905,3.8987989589371637,2025-06
469432870778208257.fit,2025-06-01,3.559,16.483333333333334,169.66969696969696,187.0,12.86928,77.41277890466532,4.662265488045952,2025-06
469455348221116417.fit,2025-06-02,9.991,46.083333333333336,145.87020968908172,153.0,12.999600000000001,78.6815866084425,4.615526631588664,2025-06
469526640381165578.fit,2025-06-05,2.134,9.816666666666666,144.0593220338983,149.0,12.999600000000001,79.90068493150685,4.615526631588664,2025-06
469528359441825800.fit,2025-06-05,1.896,10.483333333333333,158.8939393939394,172.0,12.225351515151516,81.55555555555556,4.9078343412570895,2025-06
469550411414536201.fit,2025-06-06,20.017,79.08333333333333,169.64854614412135,186.0,15.151196965865992,82.69097807757167,3.960083162747703,2025-06
469579277354958859.fit,2025-06-07,9.76,45.016666666666666,158.17986676535898,169.0,12.999600000000001,79.31892697466468,4.615526631588664,2025-06
469602695393607681.fit,2025-06-08,5.868,23.816666666666666,163.83566433566435,178.0,14.77729006993007,83.00981767180926,4.060284376639021,2025-06
469602695395704838.fit,2025-06-08,4.516,20.95,163.99920508744037,183.0,13.072756120826709,83.94585987261146,4.589697799411381,2025-06
469602695395704848.fit,2025-06-08,1.893,9.916666666666666,141.89093959731542,161.0,11.354925503355705,80.21283783783784,5.284050519069305,2025-06
469620146651037708.fit,2025-06-09,10.604,45.083333333333336,159.63525498891352,176.0,14.122310421286032,82.61658031088083,4.2485965971661575,2025-06
469624759179575309.fit,2025-06-09,7.471,34.45,155.39893617021278,186.0,12.999600000000001,76.67853658536585,4.615526631588664,2025-06
